A침o,Participaci칩n,Electores,Sexo
1986,Votos,620340,Hombres
1990,Votos,699642,Hombres
1994,Votos,757188,Hombres
1998,Votos,699980,Hombres
2002,Votos,756111,Hombres
2006,Votos,788722,Hombres
2010,Votos,928093,Hombres
2014,Votos,1000761,Hombres
2018,Votos,1028385,Hombres
2022,Votos,1003375,Hombres
1986,Votos,595960,Mujeres
1990,Votos,684684,Mujeres
1994,Votos,768791,Mujeres
1998,Votos,731933,Mujeres
2002,Votos,813307,Mujeres
2006,Votos,874135,Mujeres
2010,Votos,1022754,Mujeres
2014,Votos,1098458,Mujeres
2018,Votos,1154379,Mujeres
2022,Votos,1120473,Mujeres
1986,Abstencionismo,128813,Hombres
1990,Abstencionismo,149086,Hombres
1994,Abstencionismo,184217,Hombres
1998,Abstencionismo,327464,Hombres
2002,Abstencionismo,385587,Hombres
2006,Abstencionismo,486334,Hombres
2010,Abstencionismo,481318,Hombres
2014,Abstencionismo,535108,Hombres
2018,Abstencionismo,626720,Hombres
2022,Abstencionismo,757094,Hombres
1986,Abstencionismo,141361,Mujeres
1990,Abstencionismo,158638,Mujeres
1994,Abstencionismo,171152,Mujeres
1998,Abstencionismo,286603,Mujeres
2002,Abstencionismo,324846,Mujeres
2006,Abstencionismo,401422,Mujeres
2010,Abstencionismo,390326,Mujeres
2014,Abstencionismo,443994,Mujeres
2018,Abstencionismo,512845,Mujeres
2022,Abstencionismo,660968,Mujeres
2026,Padr칩n,1850221,Hombres
2026,Padr칩n,1881567,Mujeres