Año,Provincia,Partido,Votos
2002,SAN JOSÉ,LIBERACIÓN NACIONAL,208140
2002,ALAJUELA,LIBERACIÓN NACIONAL,112826
2002,CARTAGO,LIBERACIÓN NACIONAL,71462
2002,HEREDIA,LIBERACIÓN NACIONAL,53837
2002,GUANACASTE,LIBERACIÓN NACIONAL,41176
2002,PUNTARENAS,LIBERACIÓN NACIONAL,45100
2002,LIMÓN,LIBERACIÓN NACIONAL,30661
2002,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,284382
2002,ALAJUELA,UNIDAD SOCIAL CRISTIANA,143920
2002,CARTAGO,UNIDAD SOCIAL CRISTIANA,89519
2002,HEREDIA,UNIDAD SOCIAL CRISTIANA,74713
2002,GUANACASTE,UNIDAD SOCIAL CRISTIANA,54831
2002,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,66755
2002,LIMÓN,UNIDAD SOCIAL CRISTIANA,62158
2014,SAN JOSÉ,ACCIÓN CIUDADANA,478669
2014,ALAJUELA,ACCIÓN CIUDADANA,266437
2014,CARTAGO,ACCIÓN CIUDADANA,180650
2014,HEREDIA,ACCIÓN CIUDADANA,152336
2014,GUANACASTE,ACCIÓN CIUDADANA,75196
2014,PUNTARENAS,ACCIÓN CIUDADANA,95640
2014,LIMÓN,ACCIÓN CIUDADANA,87852
2014,SAN JOSÉ,LIBERACIÓN NACIONAL,137480
2014,ALAJUELA,LIBERACIÓN NACIONAL,71125
2014,CARTAGO,LIBERACIÓN NACIONAL,44232
2014,HEREDIA,LIBERACIÓN NACIONAL,36173
2014,GUANACASTE,LIBERACIÓN NACIONAL,32615
2014,PUNTARENAS,LIBERACIÓN NACIONAL,35179
2014,LIMÓN,LIBERACIÓN NACIONAL,25422
2018,SAN JOSÉ,ACCIÓN CIUDADANA,473864
2018,ALAJUELA,ACCIÓN CIUDADANA,256282
2018,CARTAGO,ACCIÓN CIUDADANA,211386
2018,HEREDIA,ACCIÓN CIUDADANA,162041
2018,GUANACASTE,ACCIÓN CIUDADANA,82596
2018,PUNTARENAS,ACCIÓN CIUDADANA,77755
2018,LIMÓN,ACCIÓN CIUDADANA,55277
2018,SAN JOSÉ,RESTAURACIÓN NACIONAL,287233
2018,ALAJUELA,RESTAURACIÓN NACIONAL,172517
2018,CARTAGO,RESTAURACIÓN NACIONAL,71879
2018,HEREDIA,RESTAURACIÓN NACIONAL,78819
2018,GUANACASTE,RESTAURACIÓN NACIONAL,58403
2018,PUNTARENAS,RESTAURACIÓN NACIONAL,94869
2018,LIMÓN,RESTAURACIÓN NACIONAL,95599
2022,SAN JOSÉ,LIBERACIÓN NACIONAL,344053
2022,ALAJUELA,LIBERACIÓN NACIONAL,172399
2022,CARTAGO,LIBERACIÓN NACIONAL,132694
2022,HEREDIA,LIBERACIÓN NACIONAL,105574
2022,GUANACASTE,LIBERACIÓN NACIONAL,56216
2022,PUNTARENAS,LIBERACIÓN NACIONAL,60749
2022,LIMÓN,LIBERACIÓN NACIONAL,49860
2022,SAN JOSÉ,PROGRESO SOCIAL DEMOCRÁTICO,328483
2022,ALAJUELA,PROGRESO SOCIAL DEMOCRÁTICO,223299
2022,CARTAGO,PROGRESO SOCIAL DEMOCRÁTICO,121948
2022,HEREDIA,PROGRESO SOCIAL DEMOCRÁTICO,111679
2022,GUANACASTE,PROGRESO SOCIAL DEMOCRÁTICO,70178
2022,PUNTARENAS,PROGRESO SOCIAL DEMOCRÁTICO,93402
2022,LIMÓN,PROGRESO SOCIAL DEMOCRÁTICO,84184